,0
animal,"Chuck Norris once rode a nine foot grizzly bear through an automatic car wash, instead of taking a shower."
career,"In the beginning there was nothing...then Chuck Norris Roundhouse kicked that nothing in the face and said ""Get a job"". That is the story of the universe."
celebrity,Chuck Norris is the reason why Waldo is hiding.
dev,Everybody thinks the Galaxy Note 7 is explosive. In fact it is only Chuck Norris who tries to send a WhatsApp message with a selfie to his fans.
explicit,Chuck Norris once received a blowjob from a slim lingerie model. That model is now known as Susan Boyle.
fashion,"Chuck Norris does not follow fashion trends, they follow him. But then he turns around and kicks their ass. Nobody follows Chuck Norris."
food,Chuck Norris' idea of fast food is chasing down a Cheetah and cooking to up on his BBQ.
history,"Chuck Norris once shot down a German fighter plane with his finger. By yelling ""Bang!"""
money,"If Chuck Norris steals money from a bank, the owner of the bank gets arrested for not just giving Chuck Norris the money."
movie,Godzilla is a Japanese rendition of Chuck Norris' first visit to Tokyo.
music,Who let the dogs out? Chuck Norris let the dogs out... and then roundhouse kicked them through an Oldsmobile.
political,"Chuck Norris went to the white house and crapped and pissed on President Barack Obama's desk, just because he is Chuck Norris."
religion,"The Bible was originally titled ""Chuck Norris and Friends"""
science,"When Chuck Norris falls in water, Chuck Norris doesn't get wet. Water gets Chuck Norris."
sport,"The 1972 Miami Dolphins lost one game, it was a game vs. Chuck Norris and three seven year old girls. Chuck Norris won with a roundhouse-kick to the face in overtime."
travel,"For Spring Break '05, Chuck Norris drove to Madagascar, riding a chariot pulled by two electric eels."
